0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
2015-10-28,SG,PHX,vs,DAL,-16,21.33,6,7,85.71,1,2,50.0,1,3,33.33,0,3,3,0,1,0,0,2,14,4
2015-10-30,SG,PHX,vs,POR,18,2.4,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,-1
2015-11-04,SG,PHX,vs,SAC,21,6.07,2,3,66.67,1,1,100.0,0,0,0.0,0,0,0,0,1,1,1,0,5,-3
2015-11-08,SG,PHX,@,OKC,-21,9.8,0,3,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,3,0,-5
2015-11-12,SG,PHX,vs,LAC,14,1.12,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,-1
2015-11-14,SG,PHX,vs,DEN,24,14.95,2,8,25.0,2,3,66.67,0,0,0.0,0,2,2,0,0,0,2,0,6,1
2015-11-16,SG,PHX,vs,LAL,19,2.07,1,1,100.0,1,1,100.0,0,0,0.0,0,0,0,0,0,0,0,0,3,1
2015-11-18,SG,PHX,vs,CHI,-6,15.15,2,3,66.67,2,2,100.0,0,0,0.0,0,1,1,0,0,2,0,2,6,9
2015-11-20,SG,PHX,@,DEN,7,9.62,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,1,2,0,18
2015-11-22,SG,PHX,@,NOP,-6,16.42,5,8,62.5,1,1,100.0,4,4,100.0,0,2,2,0,1,0,0,1,15,-3
2015-11-23,SG,PHX,@,SAS,-14,24.43,2,5,40.0,0,2,0.0,0,0,0.0,1,3,4,1,1,0,1,1,4,-8
2015-11-25,SG,PHX,vs,NOP,-6,9.2,2,3,66.67,1,2,50.0,0,0,0.0,0,3,3,1,1,0,0,1,5,5
2015-11-27,SG,PHX,vs,GSW,-19,24.72,2,5,40.0,0,1,0.0,2,4,50.0,0,0,0,0,1,0,1,3,6,-2
2015-12-01,SG,PHX,@,BKN,-3,7.63,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-5
2015-12-02,SG,PHX,@,DET,-5,22.83,5,6,83.33,3,3,100.0,5,5,100.0,0,1,1,1,0,0,0,5,18,4
2015-12-04,SG,PHX,@,WAS,-3,16.05,4,6,66.67,0,0,0.0,0,0,0.0,0,1,1,0,1,0,1,1,8,-6
2015-12-06,SG,PHX,@,MEM,-2,15.37,2,6,33.33,1,1,100.0,0,0,0.0,0,2,2,1,0,0,0,2,5,-2
2015-12-07,SG,PHX,@,CHI,2,32.92,6,10,60.0,2,2,100.0,0,0,0.0,0,3,3,5,1,0,1,1,14,8
